; meta data at the top of the file ,
; is skipped when preceded by ,
; a semi-colon,
timestamp,flow
01/01/2000 00:00,1000
01/01/2000 01:00,1010
01/01/2000 03:00,1030
01/01/2000 04:00,1040
01/01/2000 05:00,1050
01/01/2000 06:00,1100
01/01/2000 02:00,1020
01/01/2000 07:00,1200
01/01/2000 08:00,1300
01/01/2000 09:00,1400
01/01/2000 10:00,1500
01/01/2000 11:00,1400
01/01/2000 12:00,1300
01/01/2000 13:00,1200
01/01/2000 14:00,1100
01/01/2000 15:00,1000
01/01/2000 16:00,1001
01/01/2000 17:00,1002
01/01/2000 18:00,1003
01/01/2000 19:00,1004
01/01/2000 20:00,1005
01/01/2000 21:00,1006
01/01/2000 22:00,1007
01/01/2000 23:00,1008
02/01/2000 00:00,1009
02/01/2000 01:00,1008
02/01/2000 02:00,1007
02/01/2000 03:00,1006
02/01/2000 04:00,1005
02/01/2000 05:00,1004
02/01/2000 06:00,1003
02/01/2000 07:00,1002
02/01/2000 08:00,1001
02/01/2000 09:00,1000
02/01/2000 10:00,1010
02/01/2000 11:00,1020
02/01/2000 12:00,1030
02/01/2000 13:00,1020
02/01/2000 14:00,1030
02/01/2000 15:00,1040
02/01/2000 16:00,1050
02/01/2000 17:00,1060
02/01/2000 18:00,1070
02/01/2000 19:00,1080
02/01/2000 20:00,1090
02/01/2000 21:00,1080
02/01/2000 22:00,1070
02/01/2000 23:00,1060
03/01/2000 00:00,1050
03/01/2000 01:00,1040
